ticker,mcap
NVDA,4663.269100433349
NVO,212.7989434954309
NVT,26.34749574372101
NXPI,69.93953553084988
O,58.85892749759052
OGN,3.5452273455
OII,3.992802195710663
OKLO,8.69954935
OKTA,21.600779110032807
OLED,4.0748078307668765
OMEX,0.05394676013844252
ONDS,4.1228140949681285
ONLN,1.0
ONTO,16.112936890583406
ORA,7.13598697538723
ORCL,427.83635411380004
OXY,49.72179037245132
OZEM,1.0
PANW,247.92300994873048
PATH,5.455806262626963
PAVE,1.0
PAWZ,1.0
PBE,1.0
PCT,1.5635897068432332
PDFS,2.638084966926422
PENN,2.9284928451541727
PG,347.0078296504082
PH,122.16762187508331
PHO,1.0
PICK,1.0
PL,9.64781627005458
PLD,130.4993509981079
PLTR,270.72844229421156
PLUG,3.5434754150623378
PNR,12.349895147311416
PODD,10.9611346605
POWL,10.19248204047995
POWR,1.0
PPA,1.0
PSI,1.0
PTC,13.36633027551828
PWR,103.22187395991443
PYPL,39.0684530925617
QBTS,8.431332153988171
QCLN,1.0
QCOM,199.61705935668945
QS,4.40443865029631
QTUM,1.0
RACE,64.82592730254775
RBLX,34.051950095447175
RBRK,14.88758055566336
RCAT,1.3944958808338594
RDW,2.174181757745178
REAL,1.4651307540950318
REMX,1.0
RIOT,10.803780525697404
RIVN,20.989002095088864
RKLB,52.82217558353863
RL,24.470741039315367
RNRG,1.0
ROBO,1.0
ROBT,1.0
ROK,53.05764708445477
ROKT,1.0
ROP,34.141351476909726
RSG,66.57543159814675
RSPT,1.0
RTX,253.16302502727302
S,5.454007180622303
SATS,28.224935419431883
SCCO,142.88709535445665
SERV,0.5113923077856083
SHOP,151.64391851662552
SIMS,1.0
SKYY,1.0
SK하이닉스,1355.3158026021429
SMCI,19.813720274132553
SMH,1.0
SMHX,1.0
SN,20.534607856671844
SNOW,86.28953832702636
SNPS,86.99671581928177
SNSR,1.0
SOFI,22.935411579480743
SOXQ,1.0
SOXX,1.0
SPCX,2018.6806633863393
SRAD,4.394882293596599
STLD,35.40279639987447
